J7_4_6,1,j_245,1,Terminated,278018,278455,50,0.2
J9_2_8,1,j_245,1,Terminated,278018,278464,50,0.2
R10_9,1,j_245,1,Terminated,278018,278467,50,0.2
M3,367,j_245,1,Terminated,278019,278046,50,0.2
R6_5,1,j_245,1,Terminated,278018,278451,50,0.2
J2_1_6,1,j_245,1,Terminated,278018,278456,50,0.2
M5,563,j_245,1,Terminated,278019,278446,50,0.3
R11_10,1,j_245,1,Terminated,278018,278472,50,0.2
R4_3,1,j_245,1,Terminated,278018,278052,50,0.2
R1_3,1,j_245,1,Terminated,278018,278052,50,0.2
R8_7,1,j_245,1,Terminated,278018,278459,50,0.2
J3_1_2,5,j_259,1,Terminated,192130,192156,100,0.59
R4_3,5,j_259,1,Terminated,192130,192157,100,0.39
M1,3,j_259,1,Terminated,192130,192144,100,0.3
M2,1,j_259,1,Terminated,192130,192132,100,0.3
M1,1,j_277,1,Terminated,498668,498669,100,0.3
R2_1,1,j_277,1,Terminated,498668,498669,100,0.39
M1,1,j_297,1,Terminated,134771,134774,100,0.3
M3_2,1,j_297,1,Terminated,134777,134895,100,0.25
R2_1,1,j_297,1,Terminated,134774,134777,100,0.39
M1,1,j_310,1,Terminated,513036,513037,100,0.3
R4_3,1,j_310,1,Terminated,513036,513037,100,0.39
M5_2_4,5,j_310,1,Terminated,513036,513042,100,0.35
R6_5,5,j_310,1,Terminated,513036,513042,100,0.39
R2_1,1,j_310,1,Terminated,513036,513037,100,0.39
M3,1,j_310,1,Terminated,513036,513036,100,0.3
R3_2,3,j_325,1,Terminated,325963,326007,50,0.3
J4_1_3,999,j_325,1,Terminated,325963,326300,50,0.39
R5_4,3,j_325,1,Terminated,325963,326313,50,0.3
M1,1581,j_325,1,Terminated,325963,326202,50,0.49
M2,2,j_325,1,Terminated,325963,325991,50,0.39
M9,3,j_345,1,Terminated,670122,670133,100,0.3
J11_5_10,85,j_345,1,Terminated,670122,670149,100,0.59
M5,4,j_345,1,Terminated,670122,670145,100,0.3
M4,1,j_345,1,Terminated,670122,670129,100,0.3
M6,56,j_345,1,Terminated,670122,670130,100,0.3
R2_1,1,j_345,1,Terminated,670122,670123,100,0.39
J10_8_9,81,j_345,1,Terminated,670122,670147,100,0.59
M3,34,j_345,1,Terminated,670122,670128,100,0.3
R8_6_7,77,j_345,1,Terminated,670122,670143,100,0.49
J13_2_3_12,123,j_345,1,Terminated,670122,670152,100,0.59
J12_4_11,87,j_345,1,Terminated,670122,670151,100,0.59
M7,20,j_345,1,Terminated,670122,670130,100,0.3
M1,1,j_345,1,Terminated,670122,670123,100,0.3
R14_13,1,j_345,1,Terminated,670122,670154,100,0.39
